,tweet_id,tweet_text,preprocessed,prob_hope,prob_empathy_distress,annotation1,annotation2,annotation3,gold_label,language
1386405408571547648,1386405408571547648,"#PakistanstandswithIndia in this bad time. Promote humanity everywhere  Decrease hate either side. @ReallySwara https://t.co/E0QEqDUJna
",in this bad time promote humanity everywhere decrease hate either side,0.2084223740771285,0.7128402,Supportive,Supportive,Supportive,Supportive,en
1386256557684391936,1386256557684391936,"Funeral pyres burn in a mass cremation in New Delhi, as India faces deluge of COVID-19 deaths:… https://t.co/EhZEJvZ8s7
",funeral pyres burn in a mass cremation in new delhi as india faces deluge of covid 19 deaths,0.0025790961722303,0.79315865,Not Supportive,Supportive,Supportive,Supportive,en
1386326942677405702,1386326942677405702,"@UzairAyub113 What a beautiful religion Islam is , it does not allow Muslim to get their revange when enimy is in t… https://t.co/hE5Pu2Dqwn
",what a beautiful religion islam is it does not allow muslim to get their revange when enimy is in t,0.004927024625738,0.6648479,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386353797421805569,1386353797421805569,"RT @WajeehaZafar_: Pray for India . 🙏🤲 My Heart bleeds, heart wrenching situation in India. 😣 #PakistanstandswithIndia #IndianLivesMatter #…
",rt pray for india my heart bleeds heart wrenching situation in india,0.155074474883794,0.73272705,Supportive,Supportive,Supportive,Supportive,en
1385707501073715200,1385707501073715200,"#IndiaNeedsOxygen and Modi Needs a Potassium Push.  . . . . . . . PS: People with non-medical background can google… https://t.co/hya4tGSk6m
",and modi needs a potassium push ps people with non medical background can google,0.0592756452822728,0.6600616,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1387326161919774727,1387326161919774727,"RT @janaan99: @spectatorindex This is very unfortunate our pray with Indian people May ALLAH help us all Ameen, ""The road side mass cremati…
",rt this is very unfortunate our pray with indian people may allah help us all ameen the road side mass cremati,0.0244140937287538,0.6809015,Supportive,Supportive,Supportive,Supportive,en
1386168687372115969,1386168687372115969,"These adorable pirate cork boats are made with old wine corks and will float. 🛶https://t.co/HgxXVrB0Qn  #crafts… https://t.co/qo56Pj5CrJ
",these adorable pirate cork boats are made with old wine corks and will float,0.0022225026659944,0.6126946,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385735554675924998,1385735554675924998,"Beloved people of #INDIA, Pakistan ready to help whatever we can, most importantly we are so much in #Pain after wa… https://t.co/aQltQUGHdp
",beloved people of pakistan ready to help whatever we can most importantly we are so much in after wa,0.0271608623119328,0.7803484,Supportive,Supportive,Supportive,Supportive,en
1387042863360339976,1387042863360339976,"https://t.co/wqPhCnXtQW Thank u @Trevornoah for showing what d present dispensation has been trying to hide,althoug… https://t.co/XiobaMy15G
",thank u for showing what d present dispensation has been trying to hide althoug,0.0054091475394587,0.64093536,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1387701391276351490,1387701391276351490,"RT @AK52979491: #HappyBirthdaySachin #OxygenExpress #ModiAbandonedIndia #IndiaNeedsOxygen #Metooindia #BJP #FailedModi_BlamingFarmers   Tsu…
",rt tsu,0.004886968268895,0.7212885,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1385919390139392003,1385919390139392003,"RT @tanoli_aasif: We feel pain 4 Indian and we also pray 4 India but never Forget d pain of Kashmiri people. Now India should understand wh…
",rt we feel pain 4 indian and we also pray 4 india but never forget d pain of kashmiri people now india should understand wh,0.0078392717382823,0.71979195,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
1386284947393101824,1386284947393101824,"RT @sabzsuhail: Situation in India is very alarming for us too,. Pakistani please please follow SOPs and keep social distance, wear mask 😷…
",rt situation in india is very alarming for us too pakistani please please follow sops and keep social distance wear mask,0.0112239524515406,0.69240624,Not Supportive,Not Supportive,Not Supportive,Not Supportive,en
