target_id,ed_annotated_index,conv_id,utterance_idx,target_num,author,emotion_context,prompt,raw_utterance,target_text,utterance_before_target,utterance_text,prior_speaker_turn,prior_dialog,dialog_and_target_text,act,act_source,intent,intent_source,prompt_dialog_target_text,emotion_prompt_dialog_target_text
hit:0_conv:0_turn:2_trg:0,84170,hit:0_conv:0,2,0,listener,guilty,"<prompt> I felt guilty when I was driving home one night and a person tried to fly into my lane, and didn't see me. I honked and they swerved back into their lane, slammed on their brakes, and hit the water cones. </prompt>",Did you suffer any injuries?,<target> Did you suffer any injuries? </target>,,<listener>  <target> Did you suffer any injuries? </target>,<speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker>,<speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker>,<speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker> <listener>  <target> Did you suffer any injuries? </target>,Ask about consequence,QBERT,Express concern,QBERT,"<prompt> I felt guilty when I was driving home one night and a person tried to fly into my lane, and didn't see me. I honked and they swerved back into their lane, slammed on their brakes, and hit the water cones. </prompt> <speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker> <listener>  <target> Did you suffer any injuries? </target>","<emotion> guilty <prompt> I felt guilty when I was driving home one night and a person tried to fly into my lane, and didn't see me. I honked and they swerved back into their lane, slammed on their brakes, and hit the water cones. </prompt> <speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker> <listener>  <target> Did you suffer any injuries? </target>"
hit:0_conv:0_turn:4_trg:0,84172,hit:0_conv:0,4,0,listener,guilty,"<prompt> I felt guilty when I was driving home one night and a person tried to fly into my lane, and didn't see me. I honked and they swerved back into their lane, slammed on their brakes, and hit the water cones. </prompt>",Why did you feel guilty? People really shouldn't drive drunk.,<target> Why did you feel guilty?  </target>,,<listener>  <target> Why did you feel guilty?  </target>,<speaker> No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault. </speaker>,<speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker> <listener> Did you suffer any injuries? </listener> <speaker> No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault. </speaker>,<speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker> <listener> Did you suffer any injuries? </listener> <speaker> No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault. </speaker> <listener>  <target> Why did you feel guilty?  </target>,Ask about antecedent,QBERT,Moralize speaker,QBERT,"<prompt> I felt guilty when I was driving home one night and a person tried to fly into my lane, and didn't see me. I honked and they swerved back into their lane, slammed on their brakes, and hit the water cones. </prompt> <speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker> <listener> Did you suffer any injuries? </listener> <speaker> No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault. </speaker> <listener>  <target> Why did you feel guilty?  </target>","<emotion> guilty <prompt> I felt guilty when I was driving home one night and a person tried to fly into my lane, and didn't see me. I honked and they swerved back into their lane, slammed on their brakes, and hit the water cones. </prompt> <speaker> Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road. </speaker> <listener> Did you suffer any injuries? </listener> <speaker> No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault. </speaker> <listener>  <target> Why did you feel guilty?  </target>"
hit:0_conv:1_turn:2_trg:0,1,hit:0_conv:1,2,0,listener,sentimental,"<prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt>","Was this a friend you were in love with, or just a best friend?","<target> Was this a friend you were in love with, or just a best friend? </target>",,"<listener>  <target> Was this a friend you were in love with, or just a best friend? </target>","<speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker>","<speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker>","<speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener>  <target> Was this a friend you were in love with, or just a best friend? </target>",Request information,QBERT,Express interest,QBERT,"<prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt> <speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener>  <target> Was this a friend you were in love with, or just a best friend? </target>","<emotion> sentimental <prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt> <speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener>  <target> Was this a friend you were in love with, or just a best friend? </target>"
hit:0_conv:1_turn:4_trg:0,3,hit:0_conv:1,4,0,listener,sentimental,"<prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt>",Where has she gone?,<target> Where has she gone? </target>,,<listener>  <target> Where has she gone? </target>,<speaker> This was a best friend. I miss her. </speaker>,"<speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener> Was this a friend you were in love with, or just a best friend? </listener> <speaker> This was a best friend. I miss her. </speaker>","<speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener> Was this a friend you were in love with, or just a best friend? </listener> <speaker> This was a best friend. I miss her. </speaker> <listener>  <target> Where has she gone? </target>",Request information,QBERT,Express interest,QBERT,"<prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt> <speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener> Was this a friend you were in love with, or just a best friend? </listener> <speaker> This was a best friend. I miss her. </speaker> <listener>  <target> Where has she gone? </target>","<emotion> sentimental <prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt> <speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener> Was this a friend you were in love with, or just a best friend? </listener> <speaker> This was a best friend. I miss her. </speaker> <listener>  <target> Where has she gone? </target>"
hit:0_conv:1_turn:6_trg:0,5,hit:0_conv:1,6,0,listener,sentimental,"<prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt>",Oh was this something that happened because of an argument?,<target> Oh was this something that happened because of an argument? </target>,,<listener>  <target> Oh was this something that happened because of an argument? </target>,<speaker> We no longer talk. </speaker>,"<speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener> Was this a friend you were in love with, or just a best friend? </listener> <speaker> This was a best friend. I miss her. </speaker> <listener> Where has she gone? </listener> <speaker> We no longer talk. </speaker>","<speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener> Was this a friend you were in love with, or just a best friend? </listener> <speaker> This was a best friend. I miss her. </speaker> <listener> Where has she gone? </listener> <speaker> We no longer talk. </speaker> <listener>  <target> Oh was this something that happened because of an argument? </target>",Suggest a reason,mturk,Express concern,mturk,"<prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt> <speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener> Was this a friend you were in love with, or just a best friend? </listener> <speaker> This was a best friend. I miss her. </speaker> <listener> Where has she gone? </listener> <speaker> We no longer talk. </speaker> <listener>  <target> Oh was this something that happened because of an argument? </target>","<emotion> sentimental <prompt> I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world. </prompt> <speaker> I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world. </speaker> <listener> Was this a friend you were in love with, or just a best friend? </listener> <speaker> This was a best friend. I miss her. </speaker> <listener> Where has she gone? </listener> <speaker> We no longer talk. </speaker> <listener>  <target> Oh was this something that happened because of an argument? </target>"
hit:10000_conv:20000_turn:2_trg:0,68864,hit:10000_conv:20000,2,0,listener,surprised,<prompt> My girlfriend got me a toad today! I was so shocked and happy! </prompt>,Do you like toads?,<target> Do you like toads? </target>,,<listener>  <target> Do you like toads? </target>,<speaker> My girlfriend got me a pet toad today! </speaker>,<speaker> My girlfriend got me a pet toad today! </speaker>,<speaker> My girlfriend got me a pet toad today! </speaker> <listener>  <target> Do you like toads? </target>,Request information,QBERT,Express interest,QBERT,<prompt> My girlfriend got me a toad today! I was so shocked and happy! </prompt> <speaker> My girlfriend got me a pet toad today! </speaker> <listener>  <target> Do you like toads? </target>,<emotion> surprised <prompt> My girlfriend got me a toad today! I was so shocked and happy! </prompt> <speaker> My girlfriend got me a pet toad today! </speaker> <listener>  <target> Do you like toads? </target>
hit:10000_conv:20000_turn:4_trg:0,68866,hit:10000_conv:20000,4,0,listener,surprised,<prompt> My girlfriend got me a toad today! I was so shocked and happy! </prompt>,"That was nice of your girlfriend, do you love her?","<target> That was nice of your girlfriend, do you love her? </target>",,"<listener>  <target> That was nice of your girlfriend, do you love her? </target>",<speaker> I do! I was so happy when I opened the box and that fat mofo jumped out! </speaker>,<speaker> My girlfriend got me a pet toad today! </speaker> <listener> Do you like toads? </listener> <speaker> I do! I was so happy when I opened the box and that fat mofo jumped out! </speaker>,"<speaker> My girlfriend got me a pet toad today! </speaker> <listener> Do you like toads? </listener> <speaker> I do! I was so happy when I opened the box and that fat mofo jumped out! </speaker> <listener>  <target> That was nice of your girlfriend, do you love her? </target>",Request information,mturk,Express interest,mturk,"<prompt> My girlfriend got me a toad today! I was so shocked and happy! </prompt> <speaker> My girlfriend got me a pet toad today! </speaker> <listener> Do you like toads? </listener> <speaker> I do! I was so happy when I opened the box and that fat mofo jumped out! </speaker> <listener>  <target> That was nice of your girlfriend, do you love her? </target>","<emotion> surprised <prompt> My girlfriend got me a toad today! I was so shocked and happy! </prompt> <speaker> My girlfriend got me a pet toad today! </speaker> <listener> Do you like toads? </listener> <speaker> I do! I was so happy when I opened the box and that fat mofo jumped out! </speaker> <listener>  <target> That was nice of your girlfriend, do you love her? </target>"
hit:10001_conv:20002_turn:4_trg:0,68874,hit:10001_conv:20002,4,0,listener,lonely,<prompt> I went to the skating rink all by myself today because my friends ditched me. I was so sad. </prompt>,Why weren't your friends able to come?,<target> Why weren't your friends able to come? </target>,,<listener>  <target> Why weren't your friends able to come? </target>,"<speaker> Oh, it was a dreadful time. I never felt so alone as they played Smash Mouth's ""All Star"". </speaker>","<speaker> I went to the skating rink all by myself today because my friends ditched me. </speaker> <listener> That's disappointing. I'm glad that you didn't let that stop you, and that you still went out and had a good time! </listener> <speaker> Oh, it was a dreadful time. I never felt so alone as they played Smash Mouth's ""All Star"". </speaker>","<speaker> I went to the skating rink all by myself today because my friends ditched me. </speaker> <listener> That's disappointing. I'm glad that you didn't let that stop you, and that you still went out and had a good time! </listener> <speaker> Oh, it was a dreadful time. I never felt so alone as they played Smash Mouth's ""All Star"". </speaker> <listener>  <target> Why weren't your friends able to come? </target>",Ask about consequence,QBERT,Express concern,QBERT,"<prompt> I went to the skating rink all by myself today because my friends ditched me. I was so sad. </prompt> <speaker> I went to the skating rink all by myself today because my friends ditched me. </speaker> <listener> That's disappointing. I'm glad that you didn't let that stop you, and that you still went out and had a good time! </listener> <speaker> Oh, it was a dreadful time. I never felt so alone as they played Smash Mouth's ""All Star"". </speaker> <listener>  <target> Why weren't your friends able to come? </target>","<emotion> lonely <prompt> I went to the skating rink all by myself today because my friends ditched me. I was so sad. </prompt> <speaker> I went to the skating rink all by myself today because my friends ditched me. </speaker> <listener> That's disappointing. I'm glad that you didn't let that stop you, and that you still went out and had a good time! </listener> <speaker> Oh, it was a dreadful time. I never felt so alone as they played Smash Mouth's ""All Star"". </speaker> <listener>  <target> Why weren't your friends able to come? </target>"
hit:10001_conv:20003_turn:2_trg:0,104020,hit:10001_conv:20003,2,0,listener,annoyed,<prompt> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.  </prompt>,That really sucks. Maybe you should try egging their door? Or just break in and pretend you're bigfoot while they're trying to sleep.,<target> Maybe you should try egging their door?  </target>,That really sucks. ,<listener> That really sucks.  <target> Maybe you should try egging their door?  </target>,<speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.  </speaker>,<speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.  </speaker>,<speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.  </speaker> <listener> That really sucks.  <target> Maybe you should try egging their door?  </target>,Suggest a solution,QBERT,Offer relief,QBERT,<prompt> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.  </prompt> <speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.  </speaker> <listener> That really sucks.  <target> Maybe you should try egging their door?  </target>,<emotion> annoyed <prompt> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.  </prompt> <speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.  </speaker> <listener> That really sucks.  <target> Maybe you should try egging their door?  </target>
hit:10002_conv:20004_turn:4_trg:0,68878,hit:10002_conv:20004,4,0,listener,ashamed,<prompt> I was walking on the road. I saw beggar and i did not help him </prompt>,You think he will be there next time so you can help him?,<target> You think he will be there next time so you can help him? </target>,,<listener>  <target> You think he will be there next time so you can help him? </target>,<speaker> yeah i know. i was in a hurry and i am ashamed of myself!! </speaker>,"<speaker> I was walking on the road. I saw a beggar and i didn't help him. </speaker> <listener> Wow, that's kinda mean </listener> <speaker> yeah i know. i was in a hurry and i am ashamed of myself!! </speaker>","<speaker> I was walking on the road. I saw a beggar and i didn't help him. </speaker> <listener> Wow, that's kinda mean </listener> <speaker> yeah i know. i was in a hurry and i am ashamed of myself!! </speaker> <listener>  <target> You think he will be there next time so you can help him? </target>",Suggest a solution,QBERT,Offer relief,QBERT,"<prompt> I was walking on the road. I saw beggar and i did not help him </prompt> <speaker> I was walking on the road. I saw a beggar and i didn't help him. </speaker> <listener> Wow, that's kinda mean </listener> <speaker> yeah i know. i was in a hurry and i am ashamed of myself!! </speaker> <listener>  <target> You think he will be there next time so you can help him? </target>","<emotion> ashamed <prompt> I was walking on the road. I saw beggar and i did not help him </prompt> <speaker> I was walking on the road. I saw a beggar and i didn't help him. </speaker> <listener> Wow, that's kinda mean </listener> <speaker> yeah i know. i was in a hurry and i am ashamed of myself!! </speaker> <listener>  <target> You think he will be there next time so you can help him? </target>"
