,df1,df2,df3,df4,df5,df6,df7
0,0.158,0.131,-0.0099999999999998,0.131,0.131,0.131,0.023
1,-0.381,-0.471,-0.138,-0.381,-0.264,-0.471,-0.138
2,0.0919999999999999,0.005,-0.026,0.059,0.005,-0.026,-0.026
3,0.2149999999999999,0.0,0.2149999999999999,0.193,0.0,0.0,0.2149999999999999
4,0.068,0.085,0.038,0.024,0.033,0.128,0.038
5,0.1479999999999999,-0.066,-0.063,-0.086,-0.066,0.1769999999999999,-0.053
6,0.331,0.2119999999999999,-0.01,0.06,0.2119999999999999,0.2119999999999999,0.175
7,0.2199999999999999,0.0749999999999999,-0.071,-0.249,0.0749999999999999,0.0749999999999999,-0.358
8,-0.0909999999999999,0.426,0.122,0.3019999999999999,0.137,0.426,0.163
9,0.021,-0.2279999999999999,-0.291,-0.015,0.0,-0.12,-0.027
10,0.183,0.042,-0.151,0.0769999999999999,0.042,-0.04,-0.151
11,-0.0849999999999999,-0.0849999999999999,-0.1769999999999999,-0.239,-0.2169999999999999,-0.2169999999999999,0.076
12,-0.0369999999999999,0.0,-0.3409999999999999,-0.267,-0.1159999999999999,-0.014,-0.3329999999999999
13,0.2259999999999999,0.0,0.0,0.0,0.0,0.0,0.3989999999999999
14,-0.0349999999999999,-0.244,-0.0539999999999999,-0.1499999999999999,-0.244,-0.244,-0.2759999999999999
15,0.188,0.002,-0.069,0.188,0.3,0.3,-0.069
16,-0.1759999999999999,-0.01,0.0,-0.01,-0.01,-0.01,0.085
17,-0.1999999999999999,-0.249,-0.348,-0.1439999999999999,-0.249,-0.249,-0.2159999999999999
18,-0.123,0.276,-0.123,0.297,0.276,0.071,-0.002
19,0.261,0.24,-0.025,0.3039999999999999,0.24,0.24,0.153
20,0.182,0.182,-0.002,-0.071,0.182,-0.151,-0.166
21,-0.0819999999999999,-0.0819999999999999,-0.0819999999999999,-0.1019999999999999,-0.0819999999999999,-0.0819999999999999,-0.0819999999999999
22,0.524,0.0819999999999999,0.0879999999999999,0.522,0.0819999999999999,0.5009999999999999,0.524
23,0.0999999999999999,0.0,0.0,0.037,0.0,0.2169999999999999,0.0
24,-0.18,-0.155,-0.18,0.0699999999999999,0.2119999999999999,0.236,-0.293
25,0.136,0.007,0.103,-0.0769999999999999,-0.3079999999999999,-0.2919999999999999,0.119
26,0.187,0.283,0.181,0.363,0.283,0.283,0.181
27,0.036,0.031,0.036,0.384,-0.0469999999999999,0.031,0.036
28,0.2789999999999999,0.0,0.008,0.1059999999999999,0.0,0.0,0.008
29,0.0799999999999999,0.0,0.0,0.0649999999999999,0.0,0.0,0.019
30,0.2099999999999999,0.281,0.0,0.055,0.01,0.3339999999999999,0.0
31,0.001,0.176,0.001,0.25,0.176,0.176,0.168
32,0.022,0.037,0.038,0.167,0.137,0.137,0.038
33,0.0779999999999999,0.0639999999999999,-0.1109999999999999,0.125,0.0639999999999999,0.0,0.008
34,0.174,0.2319999999999999,-0.0669999999999999,0.2329999999999999,-0.018,0.2089999999999999,0.334
35,0.431,-0.1099999999999999,0.0829999999999999,0.843,-0.1099999999999999,-0.1099999999999999,0.0829999999999999
36,-0.273,-0.2109999999999999,-0.178,-0.2109999999999999,-0.2109999999999999,-0.2109999999999999,-0.178
37,-0.002,0.035,0.017,0.1039999999999999,0.035,0.035,0.035
