,df1,df2,df3,df4,df5,df6,df7
0,0.012,0.429,-0.1569999999999999,-0.0339999999999999,0.388,0.388,-0.0249999999999999
1,-0.44,-0.297,-0.423,-0.44,-0.166,-0.297,-0.423
2,0.061,-0.0889999999999999,-0.01,-0.0889999999999999,0.073,-0.0889999999999999,-0.01
3,0.011,-0.266,-0.025,-0.054,-0.266,-0.266,-0.1069999999999999
4,0.0089999999999998,0.0089999999999998,0.0089999999999998,-0.036,0.0089999999999998,0.0089999999999998,0.0089999999999998
5,0.1489999999999999,-0.236,-0.243,-0.2339999999999999,-0.236,-0.282,-0.282
6,0.2809999999999999,0.1889999999999999,0.015,-0.148,0.1889999999999999,0.1889999999999999,0.2789999999999999
7,-0.126,-0.0679999999999999,-0.143,-0.0719999999999999,-0.0679999999999999,-0.0679999999999999,0.0
8,0.212,0.395,0.05,0.201,0.395,0.395,0.376
9,0.0339999999999999,0.0,-0.023,-0.009,0.0,0.0,0.0
10,0.133,0.136,-0.122,0.079,0.136,-0.027,-0.122
11,-0.0069999999999998,-0.1139999999999999,-0.2049999999999999,-0.2589999999999999,-0.1139999999999999,-0.1139999999999999,-0.2049999999999999
12,-0.0389999999999999,0.054,-0.2599999999999999,-0.0439999999999999,-0.0609999999999999,-0.0389999999999999,-0.1499999999999999
13,-0.554,-0.249,-0.482,0.0,0.0,-0.249,-0.259
14,-0.1109999999999999,-0.253,-0.1069999999999999,-0.3189999999999999,-0.253,-0.253,-0.258
15,-0.043,-0.013,-0.1109999999999999,-0.043,-0.013,-0.013,-0.1109999999999999
16,-0.0629999999999999,0.083,-0.0659999999999999,0.122,0.083,-0.0629999999999999,-0.0659999999999999
17,0.0809999999999999,0.0,0.0639999999999999,0.281,0.2069999999999999,0.2069999999999999,0.278
18,0.017,0.217,0.099,0.1,0.217,0.143,0.099
19,-0.016,-0.0469999999999999,-0.2039999999999999,0.129,-0.0469999999999999,-0.0469999999999999,0.152
20,-0.027,-0.027,-0.132,-0.087,-0.027,-0.1099999999999999,-0.017
21,0.1049999999999999,0.1049999999999999,0.1049999999999999,0.0949999999999999,0.1049999999999999,0.1049999999999999,0.1049999999999999
22,-0.027,-0.023,-0.12,0.2019999999999999,-0.023,0.1679999999999999,0.2679999999999999
23,0.1129999999999999,0.33,0.193,0.2320000000000001,0.33,0.33,0.193
24,-0.1129999999999999,-0.145,-0.243,-0.1119999999999999,0.018,-0.0869999999999999,-0.364
25,0.1109999999999999,-0.013,-0.007,-0.035,0.1759999999999999,0.1109999999999999,0.2599999999999999
26,-0.25,-0.235,-0.2289999999999999,0.0,-0.027,-0.358,-0.2289999999999999
27,-0.1819999999999999,-0.1089999999999999,-0.1819999999999999,-0.0349999999999999,-0.0579999999999999,-0.1089999999999999,-0.1819999999999999
28,0.003,-0.051,0.0869999999999999,0.003,-0.051,-0.051,0.0989999999999999
29,-0.0899999999999999,-0.131,-0.255,0.0959999999999999,-0.131,-0.131,-0.16
30,-0.192,-0.0989999999999999,-0.192,-0.121,-0.0989999999999999,-0.0989999999999999,-0.0989999999999999
31,-0.016,-0.139,-0.154,-0.1079999999999999,-0.139,-0.139,-0.047
32,0.0389999999999999,0.0,-0.056,0.025,0.0,0.0,-0.056
33,-0.2049999999999999,-0.136,-0.2049999999999999,-0.2129999999999999,-0.1819999999999999,-0.2049999999999999,0.004
34,-0.242,-0.143,-0.3409999999999999,-0.1959999999999999,0.015,-0.1919999999999999,-0.269
35,0.352,0.181,-0.0639999999999999,0.779,0.181,0.067,-0.0639999999999999
36,0.053,0.15,-0.017,0.15,0.15,0.15,-0.017
37,-0.0629999999999999,-0.125,-0.125,0.081,-0.125,-0.125,-0.125
38,-0.0729999999999999,-0.0529999999999999,-0.1669999999999999,0.682,-0.0529999999999999,-0.0529999999999999,-0.1669999999999999
39,-0.058,-0.004,-0.01,-0.0919999999999999,-0.004,-0.0919999999999999,-0.01
40,0.368,0.15,0.017,0.145,0.15,0.212,0.129
41,0.011,0.268,0.157,0.011,0.268,0.045,0.2159999999999999
42,0.0859999999999999,0.0,0.2209999999999999,0.0419999999999999,0.0,0.1579999999999999,0.2209999999999999
43,-0.017,-0.017,-0.0429999999999999,0.06,-0.017,-0.0799999999999999,-0.0429999999999999
44,0.001,-0.1089999999999999,-0.007,0.1149999999999999,0.2259999999999999,-0.1089999999999999,-0.007
45,-0.024,-0.044,-0.025,-0.078,0.128,0.0479999999999999,-0.025
46,0.129,0.329,0.1119999999999999,0.458,0.329,0.218,0.1099999999999999
47,0.143,0.021,-0.1979999999999999,0.081,0.021,0.021,-0.1979999999999999
48,0.049,0.172,0.415,0.049,0.172,0.172,0.415
49,-0.024,0.0999999999999999,-0.0799999999999999,-0.022,0.0829999999999999,0.045,0.02
50,-0.0519999999999999,-0.038,-0.0579999999999999,0.037,-0.0779999999999999,-0.038,-0.038
51,-0.0679999999999999,0.043,-0.0679999999999999,0.083,0.043,0.043,-0.0679999999999999
52,0.0,0.143,-0.0199999999999999,0.1060000000000001,0.0,0.207,-0.0199999999999999
53,-0.74,-0.772,-0.855,-0.891,-0.772,-0.87,-0.855
54,-0.0629999999999999,-0.1919999999999999,-0.1789999999999999,-0.126,-0.1919999999999999,0.067,-0.006
55,0.019,0.358,-0.0429999999999999,0.217,0.358,0.358,0.278
56,0.0,0.0,-0.005,0.0369999999999999,0.0,0.0,0.0609999999999999
57,0.618,0.1569999999999999,0.0999999999999999,0.0,0.1569999999999999,0.1569999999999999,0.0
58,-0.1799999999999999,-0.143,-0.1799999999999999,-0.0999999999999999,-0.16,-0.16,-0.1799999999999999
59,0.123,0.123,0.0,-0.145,0.123,0.123,0.003
60,-0.162,-0.129,-0.2049999999999999,-0.2049999999999999,0.027,0.027,-0.2049999999999999
61,0.0849999999999999,0.0839999999999999,0.0,0.0829999999999999,0.0849999999999999,0.0839999999999999,0.0
62,-0.2440000000000001,-0.101,-0.165,-0.027,-0.101,-0.101,0.1219999999999999
63,-0.192,0.009,-0.278,-0.121,0.009,-0.237,-0.237
64,-0.197,0.0,-0.2350000000000001,-0.144,-0.197,0.0409999999999999,-0.2350000000000001
65,0.0659999999999999,-0.006,0.0199999999999999,0.0,0.0199999999999999,0.126,0.0199999999999999
66,-0.177,0.029,-0.027,0.023,-0.2079999999999999,-0.2079999999999999,-0.0919999999999999
67,0.036,0.0979999999999999,0.0629999999999999,0.3409999999999999,0.0979999999999999,0.0979999999999999,0.0629999999999999
68,0.0839999999999999,0.0139999999999999,0.0139999999999999,-0.067,0.0139999999999999,0.2219999999999999,0.0139999999999999
69,0.3109999999999999,0.1779999999999999,0.0379999999999999,0.1079999999999999,0.1779999999999999,0.1779999999999999,0.0379999999999999
70,-0.0759999999999999,-0.0949999999999999,-0.0769999999999999,-0.0949999999999999,-0.0949999999999999,-0.0949999999999999,-0.056
71,-0.427,-0.347,-0.202,-0.227,-0.24,-0.347,-0.364
72,-0.0529999999999999,-0.0219999999999999,-0.002,-0.0499999999999999,-0.0219999999999999,-0.0529999999999999,-0.0219999999999999
73,-0.017,-0.017,-0.017,0.018,-0.017,-0.017,-0.017
74,0.0,0.1149999999999999,0.0,0.0,0.0,0.013,0.013
75,-0.0969999999999999,0.135,-0.0969999999999999,0.0,0.027,0.215,-0.002
76,-0.017,-0.017,-0.1449999999999999,0.37,-0.017,-0.017,-0.1449999999999999
77,-0.054,0.266,-0.0859999999999999,0.1849999999999999,0.146,0.0949999999999999,-0.0859999999999999
78,-0.003,0.0,0.0779999999999999,0.039,0.0,0.0,0.0779999999999999
79,-0.132,0.295,0.014,0.309,0.1159999999999999,0.1159999999999999,0.395
80,-0.076,0.013,-0.188,-0.022,-0.0989999999999999,0.013,0.013
81,-0.0619999999999999,-0.0309999999999999,-0.0619999999999999,0.038,0.079,0.043,-0.017
82,-0.058,-0.015,-0.0799999999999999,0.0679999999999999,-0.015,-0.015,0.119
83,-0.1679999999999999,0.0,-0.3069999999999999,-0.0819999999999999,0.072,-0.118,-0.2999999999999999
84,-0.74,-0.576,-0.938,-0.444,-0.616,-0.781,-0.891
85,-0.0859999999999999,0.008,-0.192,0.248,-0.0949999999999999,-0.0949999999999999,0.174
86,-0.0279999999999999,0.218,0.069,-0.0939999999999999,0.218,0.218,0.069
87,-0.121,-0.0729999999999999,-0.0859999999999999,-0.029,-0.055,0.025,-0.0859999999999999
88,-0.1119999999999999,-0.1999999999999999,0.034,-0.278,-0.1119999999999999,0.034,0.034
89,0.0649999999999999,0.145,0.0479999999999999,0.3069999999999999,0.0649999999999999,0.145,0.0479999999999999
90,-0.074,0.1909999999999999,-0.074,0.126,0.0459999999999999,0.0459999999999999,-0.074
91,-0.06,-0.1049999999999999,-0.06,0.015,-0.1049999999999999,-0.1049999999999999,-0.06
92,0.1109999999999999,0.1769999999999999,0.0,0.003,0.1109999999999999,0.1519999999999999,0.1819999999999999
93,-0.218,-0.189,-0.238,-0.313,-0.139,-0.139,-0.238
94,-0.028,0.002,-0.028,0.1149999999999999,0.1149999999999999,0.1149999999999999,-0.028
95,-0.293,-0.127,-0.293,-0.009,-0.282,-0.293,-0.358
96,-0.366,-0.366,-0.2229999999999999,-0.2229999999999999,-0.366,-0.366,-0.071
97,-0.1819999999999999,-0.1779999999999999,-0.2149999999999999,-0.0229999999999999,-0.1779999999999999,-0.1779999999999999,-0.2669999999999999
98,-0.0469999999999999,-0.0549999999999999,-0.1609999999999999,-0.0819999999999999,-0.0469999999999999,-0.0789999999999999,-0.1609999999999999
99,-0.44,-0.2479999999999999,-0.1499999999999999,-0.328,-0.2479999999999999,-0.2479999999999999,-0.1279999999999999
100,0.0829999999999999,0.0,0.118,0.0,0.0,0.0,0.1839999999999999
101,0.077,0.812,-0.0269999999999999,-0.0369999999999999,0.812,0.077,0.026
102,0.0389999999999999,0.27,0.019,0.1819999999999999,0.27,0.0559999999999999,0.019
103,0.354,0.119,0.072,0.136,0.119,0.119,0.072
104,0.0,0.184,-0.0679999999999999,0.102,0.184,0.313,0.197
105,-0.1139999999999999,-0.313,-0.2759999999999999,-0.4049999999999999,-0.313,-0.297,-0.1139999999999999
106,-0.126,0.331,-0.126,-0.0719999999999999,0.331,0.331,-0.126
107,0.0,0.143,0.0,0.068,0.143,0.285,0.0
108,0.0859999999999999,0.2319999999999999,0.1529999999999999,0.0749999999999999,0.2319999999999999,0.2319999999999999,0.2769999999999999
109,0.0,-0.0139999999999999,0.055,0.055,-0.0139999999999999,0.017,0.07
110,-0.035,-0.082,0.0609999999999999,0.1079999999999999,0.1059999999999999,0.1679999999999999,0.0609999999999999
111,-0.084,0.514,0.1719999999999999,-0.013,0.514,0.514,-0.016
112,-0.175,-0.18,-0.268,-0.245,-0.18,-0.18,-0.268
113,0.262,0.296,0.262,0.432,0.133,0.133,0.262
114,-0.01,0.094,0.011,0.252,0.033,0.033,0.011
115,-0.257,-0.185,-0.052,0.0269999999999999,-0.185,-0.185,-0.052
116,-0.0509999999999999,0.0,-0.0669999999999999,0.023,0.0,0.0,-0.0669999999999999
117,-0.172,-0.1489999999999999,-0.211,0.446,-0.1489999999999999,-0.1249999999999999,-0.366
118,-0.1829999999999999,-0.3049999999999999,-0.3049999999999999,0.022,-0.3049999999999999,-0.3049999999999999,-0.3049999999999999
