,df1,df2,df3,df4,df5,df6,df7
0,-0.0209999999999999,0.667,-0.1139999999999999,0.058,-0.0209999999999999,-0.0209999999999999,-0.0829999999999999
1,-0.438,-0.547,-0.484,-0.438,-0.484,-0.547,-0.484
2,-0.055,0.125,-0.0699999999999999,0.195,0.125,0.125,0.33
3,0.0,-0.206,-0.315,-0.061,-0.206,-0.206,-0.315
4,0.1949999999999999,0.875,0.3159999999999999,0.3359999999999999,0.0939999999999999,0.1949999999999999,0.3159999999999999
5,0.477,0.0469999999999999,-0.156,-0.148,0.0469999999999999,-0.2259999999999999,-0.2259999999999999
6,0.703,0.703,0.0939999999999999,0.1559999999999999,0.703,0.703,0.2189999999999999
7,0.516,-0.242,0.0,-0.272,-0.242,-0.242,-0.272
8,-0.024,0.242,-0.1019999999999999,0.773,0.062,-0.0709999999999999,-0.1019999999999999
9,0.438,-0.001,-0.546,-0.242,-0.179,-0.1709999999999999,-0.007
10,0.721,0.237,0.0959999999999999,0.721,0.721,0.237,0.0959999999999999
11,0.078,-0.1959999999999999,-0.0239999999999999,0.062,-0.1959999999999999,-0.1959999999999999,-0.0239999999999999
12,0.0,0.0,-0.703,0.0,-0.281,-0.141,-0.518
13,0.1639999999999999,0.1099999999999999,0.1099999999999999,0.1099999999999999,0.1099999999999999,0.1099999999999999,0.844
14,0.0,-0.672,-0.625,-0.758,-0.672,-0.672,-0.924
15,0.617,-0.125,-0.188,0.617,-0.125,-0.125,0.617
16,-0.274,0.031,0.0,-0.3279999999999999,0.031,-0.274,0.194
17,-0.781,-0.422,-0.75,-0.453,-0.422,-0.688,-0.641
18,0.0,-0.469,-0.859,-0.617,-0.469,-0.469,-0.859
19,0.789,0.305,-0.008,0.289,0.305,0.305,0.342
20,0.0469999999999999,0.258,-0.034,0.0939999999999999,0.258,0.0789999999999999,-0.054
21,-0.609,-0.617,-0.609,-0.844,-0.609,-0.609,-0.609
22,-0.211,0.469,-0.265,0.469,0.469,0.469,0.469
23,0.0909999999999999,0.437,0.035,-0.118,0.609,0.437,0.609
24,-0.148,0.0,-0.148,-0.047,0.016,-0.0939999999999999,-0.148
25,0.0,0.0,-0.5,-0.68,-0.656,-0.491,0.0
26,-0.044,0.12,0.0,0.503,0.1129999999999999,0.12,0.0
27,-0.297,-0.235,-0.297,-0.133,0.0,-0.235,-0.297
28,0.1009999999999999,0.093,-0.0629999999999999,0.1009999999999999,0.093,0.172,-0.0629999999999999
29,0.0469999999999999,0.0,0.0,-0.016,0.0,0.0,0.0779999999999999
30,0.518,0.518,0.0,-0.162,-0.123,0.518,0.0
31,0.2109999999999999,0.609,-0.235,0.609,0.609,0.609,0.125
32,-0.093,-0.039,-0.164,0.2569999999999999,0.0,0.0,-0.164
33,-0.1569999999999999,0.093,-0.1569999999999999,0.531,-0.149,-0.0859999999999999,0.14
34,0.0,0.0,-0.789,-0.758,0.0,-0.617,-0.789
35,0.788,0.132,-0.0559999999999999,0.788,0.132,-0.017,-0.017
36,-0.387,-0.1059999999999999,-0.1059999999999999,-0.1059999999999999,-0.1059999999999999,-0.1059999999999999,-0.4649999999999999
37,0.0619999999999999,0.742,0.0,0.125,0.0619999999999999,0.742,0.0
38,-0.492,-0.531,-0.547,0.0,-0.531,-0.531,-0.516
39,-0.039,-0.039,-0.039,0.282,-0.039,-0.039,-0.039
40,-0.078,0.0939999999999999,0.0,0.0389999999999999,0.0939999999999999,0.0939999999999999,0.0
41,-0.196,0.484,-0.446,-0.196,0.484,0.484,-0.133
42,0.1009999999999999,0.359,0.203,0.015,0.781,0.359,0.203
43,0.703,0.703,0.0,0.0,0.703,0.0,0.0699999999999999
44,0.421,0.304,0.1159999999999999,0.0,0.304,0.304,0.1159999999999999
45,0.0,0.008,-0.1009999999999999,0.121,0.024,0.024,-0.1009999999999999
46,0.2099999999999999,0.585,-0.095,0.585,0.2489999999999999,0.2099999999999999,-0.032
47,-0.133,-0.274,-0.125,0.187,-0.274,-0.274,-0.039
48,0.0699999999999999,0.75,0.062,0.0699999999999999,0.359,0.062,0.062
49,0.617,0.2299999999999999,-0.063,0.008,0.0729999999999999,0.2299999999999999,0.043
