,df1,df2,df3,df4,df5,df6,df7
0,-0.2949999999999999,0.449,-0.2949999999999999,-0.159,0.449,0.449,-0.2949999999999999
1,-0.4269999999999999,-0.3339999999999999,-0.354,-0.4269999999999999,-0.139,-0.3339999999999999,-0.354
2,0.002,-0.0389999999999999,-0.0289999999999999,0.057,-0.0389999999999999,-0.0389999999999999,-0.0289999999999999
3,0.0,-0.2229999999999999,-0.0759999999999999,-0.1169999999999999,-0.2229999999999999,-0.2229999999999999,-0.0759999999999999
4,0.01,0.011,0.009,0.009,0.011,0.011,0.009
5,0.02,-0.0639999999999999,-0.0469999999999999,-0.149,-0.0639999999999999,-0.132,-0.132
6,0.171,0.261,0.129,0.025,0.261,0.261,0.171
7,-0.0369999999999999,-0.2139999999999999,-0.1719999999999999,-0.141,-0.2139999999999999,-0.2139999999999999,-0.132
8,0.1,0.407,-0.0729999999999999,0.104,0.407,0.407,0.167
9,0.153,0.0,-0.0419999999999999,-0.009,-0.0199999999999999,-0.0819999999999999,0.0
10,0.0379999999999999,0.1969999999999999,-0.003,0.0379999999999999,0.1969999999999999,0.01,-0.003
11,-0.154,-0.236,-0.1949999999999999,-0.1739999999999999,-0.236,-0.236,0.0
12,0.053,0.0,-0.0799999999999999,0.0,-0.0369999999999999,0.053,0.004
13,-0.7020000000000001,-0.469,-0.6920000000000001,0.079,0.079,-0.469,-0.535
14,-0.236,-0.2799999999999999,-0.2929999999999999,-0.3299999999999999,-0.2799999999999999,-0.2799999999999999,-0.3099999999999999
15,0.2139999999999999,0.1049999999999999,-0.02,0.2139999999999999,0.1049999999999999,0.1049999999999999,-0.02
16,-0.047,0.123,-0.037,0.2099999999999999,0.123,-0.047,0.12
17,-0.2539999999999999,-0.0559999999999999,-0.122,-0.0809999999999999,-0.0559999999999999,-0.0559999999999999,-0.118
18,0.2229999999999999,0.2009999999999999,0.1139999999999999,0.02,0.2009999999999999,0.2009999999999999,0.1779999999999999
19,0.131,-0.022,-0.0629999999999999,0.039,-0.022,-0.022,-0.014
20,-0.009,0.011,-0.0409999999999999,-0.0399999999999999,0.011,-0.0199999999999999,-0.0199999999999999
21,-0.0939999999999999,-0.0539999999999999,-0.0939999999999999,-0.0539999999999999,-0.0939999999999999,-0.0939999999999999,-0.0939999999999999
22,-0.146,0.1109999999999999,-0.0969999999999999,-0.139,0.1109999999999999,0.31,0.021
23,-0.019,-0.024,-0.024,0.0539999999999999,0.1269999999999999,-0.024,0.1059999999999999
24,0.0,-0.053,-0.012,0.009,0.009,-0.022,0.009
25,0.008,0.008,0.0,-0.165,0.744,0.008,0.005
26,-0.255,-0.1039999999999999,-0.13,-0.012,-0.2159999999999999,-0.1079999999999999,-0.13
27,-0.0729999999999999,0.038,-0.0729999999999999,-0.0729999999999999,0.038,0.038,-0.0729999999999999
28,-0.156,-0.1969999999999999,-0.1039999999999999,-0.156,-0.1969999999999999,-0.1969999999999999,-0.1039999999999999
29,-0.0079999999999998,0.045,-0.0289999999999999,0.211,0.045,0.045,-0.0279999999999999
30,-0.1719999999999999,0.046,-0.016,-0.141,-0.132,0.092,-0.016
31,-0.1149999999999999,-0.0449999999999999,-0.125,0.037,-0.0449999999999999,-0.0449999999999999,-0.1149999999999999
32,-0.128,0.0,-0.129,-0.088,0.0,0.0,-0.128
33,-0.147,0.0,-0.147,-0.041,-0.156,-0.1669999999999999,-0.0659999999999999
34,0.1089999999999999,-0.016,-0.13,-0.172,0.0,-0.089,-0.068
35,0.425,0.051,-0.0199999999999999,0.918,0.051,0.051,-0.0199999999999999
36,0.062,0.032,0.032,0.032,0.032,0.032,0.037
37,-0.0319999999999999,0.0,-0.0319999999999999,-0.0319999999999999,-0.021,0.0,-0.0319999999999999
38,0.016,0.165,-0.0279999999999999,0.93,0.165,0.165,0.024
39,-0.009,-0.009,-0.009,0.074,-0.009,-0.009,-0.009
40,0.2879999999999999,-0.042,-0.001,0.0619999999999999,-0.042,0.0779999999999999,0.135
41,-0.208,0.148,-0.156,-0.208,0.148,-0.021,-0.2189999999999999
42,0.0,0.1979999999999999,0.1779999999999999,0.1049999999999999,0.0209999999999999,0.1979999999999999,0.1779999999999999
43,-0.0269999999999999,-0.0269999999999999,0.0,0.129,-0.0269999999999999,-0.0269999999999999,0.104
44,0.033,-0.0619999999999999,-0.0319999999999999,0.0,0.199,-0.0619999999999999,-0.0319999999999999
45,0.031,0.0709999999999999,0.031,0.009,0.3229999999999999,0.2289999999999999,0.031
46,0.194,0.161,-0.0399999999999999,0.187,0.03,0.03,-0.0199999999999999
47,-0.2139999999999999,-0.276,-0.276,-0.057,-0.276,-0.276,-0.141
48,0.0409999999999999,0.2089999999999999,0.1029999999999999,0.0409999999999999,0.2089999999999999,0.2109999999999999,0.1029999999999999
49,0.1779999999999999,0.0289999999999999,-0.012,-0.041,0.0289999999999999,0.0289999999999999,0.0289999999999999
50,0.0,0.042,0.029,0.146,0.04,0.042,0.042
51,-0.0319999999999999,0.049,-0.0519999999999999,0.166,0.049,0.049,-0.0319999999999999
52,0.0,0.02,-0.013,0.02,0.0,0.02,-0.013
53,-0.938,-1.0,-0.959,-0.98,-1.0,-1.0,-0.959
54,-0.0209999999999999,0.0,0.0,0.042,0.209,0.0,0.0
55,0.1719999999999999,0.1719999999999999,-0.011,0.2279999999999999,0.1719999999999999,0.1719999999999999,0.01
56,-0.037,0.0,-0.143,-0.153,0.0,0.0,-0.037
57,0.565,-0.029,0.127,0.0,-0.029,-0.029,-0.029
58,-0.0409999999999999,0.012,-0.0409999999999999,0.003,-0.0279999999999999,-0.0279999999999999,-0.0409999999999999
59,0.0789999999999999,0.0789999999999999,-0.1139999999999999,-0.1109999999999999,0.0789999999999999,0.0789999999999999,-0.1149999999999999
60,0.0,0.02,0.0,0.02,0.125,0.125,0.0
61,0.022,0.022,-0.009,0.022,0.022,0.022,-0.009
62,-0.098,-0.219,-0.1140000000000001,-0.069,-0.219,-0.219,-0.072
63,-0.1559999999999999,-0.0259999999999999,-0.1569999999999999,-0.125,-0.0259999999999999,-0.1569999999999999,-0.1569999999999999
64,-0.031,0.0,0.011,0.009,-0.031,0.031,0.011
65,0.062,0.0,0.032,0.0,0.042,0.0649999999999999,0.032
66,-0.2849999999999999,-0.2119999999999999,-0.253,-0.127,-0.2849999999999999,-0.2849999999999999,-0.3159999999999999
67,0.1099999999999999,0.0109999999999998,0.0,0.0,0.0109999999999998,0.0109999999999998,0.0
68,-0.0199999999999999,-0.0819999999999999,-0.0399999999999999,-0.0819999999999999,-0.0819999999999999,0.161,-0.0399999999999999
69,0.168,0.033,-0.0619999999999999,-0.0199999999999999,0.033,0.033,-0.0619999999999999
70,0.029,0.0939999999999999,0.031,0.042,0.0939999999999999,0.042,0.042
71,-0.211,-0.281,-0.208,-0.041,-0.211,-0.281,-0.281
72,-0.0329999999999999,-0.0359999999999999,-0.0229999999999999,0.008,-0.0359999999999999,-0.0359999999999999,-0.0359999999999999
73,-0.236,-0.236,-0.236,-0.206,-0.236,-0.236,-0.236
74,0.0,0.0089999999999998,0.0,0.0,0.0,0.0729999999999999,0.0729999999999999
75,-0.1039999999999999,-0.146,-0.1049999999999999,0.034,-0.031,0.0479999999999999,-0.1039999999999999
76,0.005,0.005,0.0,0.4319999999999999,0.005,0.005,0.005
77,0.021,0.052,0.1,0.257,0.17,0.198,0.1
78,-0.0529999999999999,0.0,-0.0309999999999999,0.021,0.0,0.0,-0.0309999999999999
79,-0.121,0.171,0.049,0.046,0.16,0.16,0.4
80,-0.1099999999999999,-0.1099999999999999,-0.1099999999999999,-0.1099999999999999,-0.047,-0.1099999999999999,-0.1099999999999999
81,-0.235,-0.194,-0.235,-0.19,-0.245,-0.2139999999999999,-0.2339999999999999
82,0.046,0.067,-0.0469999999999999,-0.023,0.067,0.067,0.1159999999999999
83,-0.0949999999999999,-0.1469999999999999,-0.3199999999999999,-0.1159999999999999,-0.1469999999999999,-0.1469999999999999,-0.265
84,-0.938,-0.74,-0.958,-0.51,-0.635,-0.885,-0.98
85,-0.1099999999999999,-0.05,0.0419999999999999,0.2859999999999999,-0.038,-0.038,0.0679999999999999
86,0.135,0.0629999999999999,-0.083,-0.146,0.0659999999999999,0.0659999999999999,0.135
87,-0.141,-0.2139999999999999,-0.0609999999999999,-0.141,-0.2139999999999999,-0.121,-0.016
88,-0.094,-0.1049999999999999,0.0729999999999999,-0.136,-0.094,-0.1049999999999999,0.0729999999999999
89,0.072,-0.1259999999999999,-0.1459999999999999,-0.1259999999999999,0.072,-0.1259999999999999,-0.1459999999999999
90,0.0,-0.035,-0.243,-0.035,-0.243,-0.243,-0.243
91,-0.1559999999999999,-0.1149999999999999,-0.1559999999999999,-0.0179999999999999,-0.1559999999999999,-0.1149999999999999,-0.1559999999999999
92,-0.053,0.0339999999999999,-0.204,-0.036,0.0339999999999999,-0.171,-0.102
93,-0.239,-0.199,-0.252,-0.163,-0.208,-0.208,-0.252
94,-0.0279999999999999,-0.0079999999999998,-0.0279999999999999,0.0,0.0,0.0,-0.0279999999999999
95,-0.1109999999999999,0.0979999999999999,0.0699999999999999,0.139,0.0269999999999999,-0.1109999999999999,-0.131
96,-0.754,-0.754,-0.629,-0.629,-0.754,-0.754,-0.587
97,-0.2230000000000001,-0.17,-0.129,-0.07,-0.17,-0.17,-0.214
98,-0.046,-0.083,-0.2189999999999999,-0.208,-0.187,-0.187,-0.2189999999999999
99,-0.0249999999999999,0.026,0.042,0.062,0.026,0.026,0.042
100,-0.01,0.0,0.029,0.0,0.0,0.0,0.0
101,0.1529999999999999,0.939,-0.019,-0.019,0.939,0.1529999999999999,0.0309999999999999
102,-0.04,0.0399999999999999,-0.011,0.022,0.0399999999999999,0.0,-0.011
103,0.472,-0.018,-0.061,-0.073,-0.061,-0.061,-0.061
104,-0.0989999999999999,-0.007,-0.211,-0.164,-0.033,0.0399999999999999,-0.193
105,-0.2179999999999999,-0.364,-0.26,-0.364,-0.364,-0.364,-0.2179999999999999
106,-0.0829999999999999,0.615,-0.072,-0.187,0.615,0.615,0.016
107,0.0,0.167,-0.0119999999999999,0.021,0.167,0.042,0.0
108,-0.17,0.0,-0.0709999999999999,-0.17,0.0,0.0,-0.0709999999999999
109,0.0,0.0399999999999999,0.02,0.1519999999999999,0.0399999999999999,0.02,0.02
110,-0.162,-0.162,-0.162,-0.0889999999999999,0.046,0.046,-0.12
111,-0.1879999999999999,0.364,-0.1049999999999999,-0.157,0.364,0.364,-0.1049999999999999
112,-0.02,0.2099999999999999,-0.2119999999999999,0.032,0.2099999999999999,0.2099999999999999,-0.1869999999999999
113,0.158,0.314,0.1159999999999999,0.142,-0.0819999999999999,-0.0819999999999999,0.1159999999999999
114,-0.062,0.1569999999999999,-0.062,0.0939999999999999,-0.021,-0.021,-0.062
115,-0.3560000000000001,-0.169,-0.367,-0.3370000000000001,-0.169,-0.169,-0.367
116,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125
117,-0.261,-0.001,-0.156,0.719,-0.001,-0.061,-0.083
118,-0.2189999999999999,-0.2189999999999999,-0.239,-0.2189999999999999,-0.2189999999999999,-0.2189999999999999,-0.239
119,0.005,0.067,-0.1719999999999999,-0.1579999999999999,0.005,0.005,-0.1719999999999999
120,-0.141,0.1159999999999999,-0.2139999999999999,-0.144,0.1159999999999999,0.1159999999999999,-0.0539999999999999
121,-0.135,-0.135,-0.135,-0.177,-0.135,-0.135,-0.135
122,-0.015,0.393,0.152,0.714,0.393,0.138,0.152
123,0.023,0.21,-0.0299999999999999,0.158,-0.0709999999999999,-0.0299999999999999,-0.0299999999999999
124,0.2279999999999999,0.2089999999999999,0.0879999999999999,0.0559999999999999,0.2089999999999999,0.2089999999999999,0.141
125,0.199,0.314,-0.0399999999999999,0.331,0.314,0.178,-0.0399999999999999
126,-0.02,-0.2279999999999999,-0.0929999999999999,-0.187,0.016,-0.2279999999999999,-0.02
127,0.0309999999999999,0.1929999999999999,-0.042,0.01,0.0409999999999999,0.0829999999999999,0.13
128,0.0,0.0,-0.0119999999999999,0.0,0.0,-0.0109999999999998,0.125
129,0.0,0.141,0.052,0.047,-0.0409999999999999,0.121,0.052
130,-0.2089999999999999,-0.2089999999999999,-0.2289999999999999,-0.2089999999999999,-0.2089999999999999,-0.2089999999999999,-0.2289999999999999
131,-0.02,-0.062,-0.062,0.0,-0.062,-0.062,-0.033
132,0.153,0.017,-0.0319999999999999,-0.0109999999999998,0.08,0.08,-0.008
133,0.014,0.014,-0.0079999999999998,0.014,0.014,0.014,0.128
134,-0.01,0.0599999999999999,-0.01,-0.002,0.0,0.0,-0.01
135,0.013,-0.009,0.033,0.0649999999999999,-0.009,0.013,0.033
136,-0.019,-0.019,-0.0499999999999999,-0.0509999999999999,-0.0299999999999999,-0.0299999999999999,-0.0499999999999999
137,0.031,-0.2819999999999999,-0.2609999999999999,-0.241,0.007,-0.1039999999999999,-0.0419999999999999
138,-0.0309999999999999,-0.0309999999999999,-0.0109999999999998,-0.0209999999999999,-0.0309999999999999,-0.0309999999999999,-0.0109999999999998
139,0.167,0.252,0.125,0.257,0.252,0.01,0.167
140,-0.0279999999999999,-0.0279999999999999,-0.0279999999999999,-0.0389999999999999,-0.0279999999999999,-0.0279999999999999,-0.0279999999999999
141,-0.2139999999999999,-0.243,-0.2139999999999999,-0.0969999999999999,-0.243,-0.243,-0.2139999999999999
142,0.122,-0.022,0.023,0.063,-0.0629999999999999,-0.022,0.052
143,-0.125,-0.125,-0.0279999999999999,0.0,0.016,-0.0419999999999999,-0.125
144,0.03,-0.032,0.009,-0.032,-0.032,-0.032,0.029
145,-0.017,0.0329999999999999,0.005,0.0329999999999999,0.025,0.025,0.005
146,-0.208,-0.038,-0.208,0.576,-0.038,-0.038,-0.041
147,0.2339999999999999,0.2339999999999999,0.0849999999999999,0.1469999999999999,0.2339999999999999,0.2339999999999999,0.1159999999999999
148,0.0,-0.1329999999999999,-0.0689999999999999,-0.121,-0.1329999999999999,-0.0219999999999999,0.004
149,-0.1319999999999999,0.0,-0.0219999999999999,-0.0899999999999999,0.0,0.0,0.004
150,-0.1559999999999999,-0.1559999999999999,-0.1559999999999999,-0.0959999999999999,-0.1559999999999999,-0.1559999999999999,-0.1559999999999999
151,0.875,-0.0319999999999999,0.033,0.062,-0.0329999999999999,0.059,0.8440000000000001
152,-0.1149999999999999,-0.1149999999999999,-0.2009999999999999,-0.2009999999999999,-0.1149999999999999,-0.2009999999999999,-0.2009999999999999
153,0.0,0.0,-0.062,-0.022,0.0,0.0,0.1779999999999999
154,-0.126,0.021,-0.1729999999999999,-0.0859999999999999,-0.132,0.1019999999999999,-0.12
155,0.0109999999999998,0.0209999999999999,-0.02,0.0089999999999998,0.0089999999999998,0.0209999999999999,-0.02
156,-0.09,-0.1009999999999999,-0.075,-0.131,-0.1009999999999999,-0.1009999999999999,0.0
157,0.2879999999999999,0.2879999999999999,0.0219999999999999,0.354,0.2879999999999999,0.2879999999999999,0.0219999999999999
158,0.1119999999999999,0.2069999999999999,0.1169999999999999,0.1029999999999999,0.2069999999999999,0.2069999999999999,0.1169999999999999
159,0.26,0.121,0.0,0.26,0.121,0.121,0.0
160,0.1149999999999999,-0.255,-0.3329999999999999,-0.3349999999999999,-0.132,-0.181,-0.375
161,-0.041,-0.087,-0.2189999999999999,-0.2189999999999999,-0.087,-0.087,-0.041
162,0.1719999999999999,0.0909999999999999,0.02,0.0399999999999999,0.0909999999999999,0.0909999999999999,0.02
163,-0.0629999999999999,-0.0829999999999999,-0.0829999999999999,-0.0629999999999999,-0.0629999999999999,-0.0829999999999999,-0.0829999999999999
